,mechanic,year,average_rank,amount
362,Hex-and-Counter,1983,8641.0,39
363,Hex-and-Counter,1984,9240.0,33
364,Hex-and-Counter,1985,9669.0,40
365,Hex-and-Counter,1986,9169.0,46
366,Hex-and-Counter,1987,8721.0,32
367,Hex-and-Counter,1988,8846.0,23
368,Hex-and-Counter,1989,8951.0,21
369,Hex-and-Counter,1990,9740.0,37
370,Hex-and-Counter,1991,10010.0,40
371,Hex-and-Counter,1992,9444.0,69
372,Hex-and-Counter,1993,9601.0,48
373,Hex-and-Counter,1994,9362.0,43
374,Hex-and-Counter,1995,8349.0,51
375,Hex-and-Counter,1996,9524.0,35
376,Hex-and-Counter,1997,9570.0,41
377,Hex-and-Counter,1998,7909.0,35
378,Hex-and-Counter,1999,8424.0,32
379,Hex-and-Counter,2000,7755.0,33
380,Hex-and-Counter,2001,8495.0,29
381,Hex-and-Counter,2002,7220.0,28
382,Hex-and-Counter,2003,7576.0,31
383,Hex-and-Counter,2004,7756.0,48
384,Hex-and-Counter,2005,7098.0,48
385,Hex-and-Counter,2006,7708.0,39
386,Hex-and-Counter,2007,7559.0,40
387,Hex-and-Counter,2008,7490.0,48
388,Hex-and-Counter,2009,6832.0,45
389,Hex-and-Counter,2010,7541.0,69
390,Hex-and-Counter,2011,7189.0,47
391,Hex-and-Counter,2012,7121.0,49
392,Hex-and-Counter,2013,6454.0,37
393,Hex-and-Counter,2014,6536.0,39
394,Hex-and-Counter,2015,6894.0,42
395,Hex-and-Counter,2016,6185.0,39
396,Hex-and-Counter,2017,6670.0,24
397,Hex-and-Counter,2018,6681.0,25
398,Hex-and-Counter,2019,5601.0,1
399,Hex-and-Counter,2020,5601.0,0
400,Memory,1981,11176.0,3
401,Memory,1982,4962.0,3
402,Memory,1983,4962.0,0
403,Memory,1984,14088.0,1
404,Memory,1985,10032.0,4
405,Memory,1986,13950.0,4
406,Memory,1987,14981.0,7
407,Memory,1988,11406.0,6
408,Memory,1989,14811.0,7
409,Memory,1990,13210.0,4
410,Memory,1991,12986.0,4
411,Memory,1992,12159.0,7
412,Memory,1993,10882.0,3
413,Memory,1994,13569.0,6
414,Memory,1995,7811.0,5
415,Memory,1996,13904.0,8
416,Memory,1997,11615.0,12
417,Memory,1998,8917.0,5
418,Memory,1999,9688.0,10
419,Memory,2000,13279.0,8
420,Memory,2001,11061.0,10
421,Memory,2002,11200.0,12
422,Memory,2003,10592.0,21
423,Memory,2004,10447.0,21
424,Memory,2005,11521.0,24
425,Memory,2006,10587.0,26
426,Memory,2007,10654.0,30
427,Memory,2008,8780.0,31
428,Memory,2009,8562.0,27
429,Memory,2010,7563.0,26
430,Memory,2011,9007.0,34
431,Memory,2012,8803.0,31
432,Memory,2013,8221.0,41
433,Memory,2014,7680.0,42
434,Memory,2015,7799.0,46
435,Memory,2016,8256.0,70
436,Memory,2017,8023.0,47
437,Memory,2018,8088.0,35
438,Memory,2019,11273.0,1
439,Memory,2020,11273.0,0
440,Modular Board,1981,10828.0,4
