,type,year,average_rank,amount
444,Fighting,1985,10232.0,7
445,Fighting,1986,11413.0,9
446,Fighting,1987,9616.0,10
447,Fighting,1988,8235.0,5
448,Fighting,1989,7159.0,11
449,Fighting,1990,4906.0,6
450,Fighting,1991,10925.0,15
451,Fighting,1992,9091.0,12
452,Fighting,1993,8755.0,15
453,Fighting,1994,8847.0,11
454,Fighting,1995,7495.0,19
455,Fighting,1996,9124.0,11
456,Fighting,1997,9186.0,8
457,Fighting,1998,12186.0,13
458,Fighting,1999,10881.0,11
459,Fighting,2000,8541.0,21
460,Fighting,2001,10666.0,25
461,Fighting,2002,7061.0,27
462,Fighting,2003,8414.0,38
463,Fighting,2004,7470.0,34
464,Fighting,2005,7681.0,34
465,Fighting,2006,9752.0,34
466,Fighting,2007,6995.0,34
467,Fighting,2008,7223.0,38
468,Fighting,2009,5723.0,43
469,Fighting,2010,5096.0,44
470,Fighting,2011,5199.0,61
471,Fighting,2012,6263.0,66
472,Fighting,2013,5628.0,68
473,Fighting,2014,5808.0,84
474,Fighting,2015,5067.0,93
475,Fighting,2016,5712.0,101
476,Fighting,2017,6495.0,76
477,Fighting,2018,5461.0,85
478,Fighting,2019,6576.0,27
479,Fighting,2020,6576.0,0
480,Humor,1981,14269.0,1
481,Humor,1982,14269.0,0
482,Humor,1983,12498.0,1
483,Humor,1984,4455.0,2
484,Humor,1985,6394.0,4
485,Humor,1986,16484.0,1
486,Humor,1987,12495.0,5
487,Humor,1988,13416.0,11
488,Humor,1989,10412.0,3
489,Humor,1990,12796.0,2
490,Humor,1991,14416.0,2
491,Humor,1992,6858.0,5
492,Humor,1993,9090.0,5
493,Humor,1994,11282.0,5
494,Humor,1995,11282.0,0
495,Humor,1996,10629.0,5
496,Humor,1997,12648.0,5
497,Humor,1998,9548.0,14
498,Humor,1999,7126.0,7
499,Humor,2000,12609.0,3
500,Humor,2001,9821.0,12
501,Humor,2002,10278.0,18
502,Humor,2003,10054.0,33
503,Humor,2004,11183.0,33
504,Humor,2005,11364.0,34
505,Humor,2006,10083.0,28
506,Humor,2007,10512.0,34
507,Humor,2008,9537.0,46
508,Humor,2009,9301.0,37
509,Humor,2010,9764.0,33
510,Humor,2011,7654.0,47
511,Humor,2012,10550.0,38
512,Humor,2013,8376.0,45
513,Humor,2014,9585.0,70
514,Humor,2015,9404.0,75
515,Humor,2016,9845.0,72
516,Humor,2017,7797.0,67
517,Humor,2018,8152.0,35
518,Humor,2019,7093.0,3
519,Humor,2020,7093.0,0
520,Medieval,1981,6930.0,4
521,Medieval,1982,9543.0,1
522,Medieval,1983,9492.0,4
523,Medieval,1984,10199.0,3
524,Medieval,1985,10148.0,4
525,Medieval,1986,7398.0,5
526,Medieval,1987,7465.0,5
527,Medieval,1988,16271.0,1
528,Medieval,1989,5170.0,4
529,Medieval,1990,11704.0,6
530,Medieval,1991,9884.0,3
531,Medieval,1992,8741.0,10
532,Medieval,1993,9743.0,10
533,Medieval,1994,11403.0,11
534,Medieval,1995,6401.0,11
535,Medieval,1996,7936.0,6
536,Medieval,1997,7552.0,3
537,Medieval,1998,8779.0,9
538,Medieval,1999,7088.0,14
539,Medieval,2000,5357.0,13
540,Medieval,2001,11118.0,11
541,Medieval,2002,6084.0,13
542,Medieval,2003,7449.0,14
543,Medieval,2004,6788.0,26
544,Medieval,2005,6768.0,25
545,Medieval,2006,5902.0,24
546,Medieval,2007,5284.0,27
547,Medieval,2008,5670.0,27
548,Medieval,2009,5472.0,30
549,Medieval,2010,5540.0,33
550,Medieval,2011,5570.0,37
551,Medieval,2012,6831.0,40
552,Medieval,2013,6635.0,40
553,Medieval,2014,6063.0,44
554,Medieval,2015,5878.0,53
555,Medieval,2016,6182.0,51
556,Medieval,2017,5719.0,56
557,Medieval,2018,4974.0,51
558,Medieval,2019,6009.0,14
559,Medieval,2020,6009.0,0
560,Miniatures,1981,10422.0,2
561,Miniatures,1982,10422.0,0
562,Miniatures,1983,7958.0,2
563,Miniatures,1984,7958.0,0
564,Miniatures,1985,891.0,1
565,Miniatures,1986,8677.0,4
566,Miniatures,1987,3052.0,1
567,Miniatures,1988,7608.0,3
568,Miniatures,1989,3161.0,5
569,Miniatures,1990,4357.0,9
570,Miniatures,1991,11299.0,6
571,Miniatures,1992,6190.0,7
572,Miniatures,1993,7181.0,10
573,Miniatures,1994,7440.0,9
574,Miniatures,1995,6480.0,9
575,Miniatures,1996,6370.0,6
576,Miniatures,1997,8352.0,13
577,Miniatures,1998,9597.0,9
578,Miniatures,1999,4733.0,5
579,Miniatures,2000,6642.0,8
580,Miniatures,2001,8640.0,12
581,Miniatures,2002,7122.0,18
582,Miniatures,2003,7600.0,19
583,Miniatures,2004,5148.0,27
584,Miniatures,2005,8255.0,20
585,Miniatures,2006,7409.0,26
586,Miniatures,2007,5612.0,23
587,Miniatures,2008,6931.0,24
588,Miniatures,2009,6617.0,29
589,Miniatures,2010,5268.0,28
590,Miniatures,2011,5692.0,29
591,Miniatures,2012,4232.0,42
592,Miniatures,2013,5280.0,31
593,Miniatures,2014,6054.0,43
594,Miniatures,2015,4467.0,54
595,Miniatures,2016,5529.0,59
596,Miniatures,2017,5113.0,60
597,Miniatures,2018,5204.0,65
598,Miniatures,2019,6095.0,30
599,Miniatures,2020,9444.0,2
600,Movies,1981,11846.0,7
601,Movies,1982,15672.0,3
602,Movies,1983,11230.0,6
603,Movies,1984,14280.0,6
604,Movies,1985,11843.0,9
605,Movies,1986,13079.0,5
606,Movies,1987,11263.0,6
607,Movies,1988,11529.0,6
608,Movies,1989,11097.0,6
609,Movies,1990,10359.0,3
610,Movies,1991,13716.0,6
611,Movies,1992,12467.0,9
612,Movies,1993,15552.0,7
613,Movies,1994,11803.0,4
614,Movies,1995,13316.0,5
615,Movies,1996,13900.0,8
616,Movies,1997,12176.0,11
617,Movies,1998,15469.0,7
618,Movies,1999,13380.0,13
619,Movies,2000,13102.0,28
620,Movies,2001,13081.0,21
621,Movies,2002,11726.0,31
622,Movies,2003,13423.0,21
623,Movies,2004,13001.0,23
624,Movies,2005,12713.0,39
625,Movies,2006,12053.0,28
626,Movies,2007,11137.0,24
627,Movies,2008,12066.0,24
628,Movies,2009,12837.0,15
629,Movies,2010,10961.0,17
630,Movies,2011,10626.0,23
631,Movies,2012,9173.0,31
632,Movies,2013,10056.0,29
633,Movies,2014,8538.0,35
634,Movies,2015,7040.0,46
635,Movies,2016,7640.0,49
636,Movies,2017,6986.0,32
637,Movies,2018,7517.0,32
638,Movies,2019,5529.0,2
639,Movies,2020,5529.0,0
640,Party Game,1981,13609.0,4
641,Party Game,1982,7407.0,1
642,Party Game,1983,7407.0,0
643,Party Game,1984,8844.0,4
644,Party Game,1985,10092.0,8
645,Party Game,1986,9905.0,4
646,Party Game,1987,11886.0,9
647,Party Game,1988,12921.0,13
648,Party Game,1989,11049.0,17
649,Party Game,1990,10566.0,9
650,Party Game,1991,12253.0,11
651,Party Game,1992,11668.0,15
652,Party Game,1993,10031.0,13
653,Party Game,1994,12552.0,10
654,Party Game,1995,9756.0,5
655,Party Game,1996,7827.0,10
656,Party Game,1997,11081.0,11
657,Party Game,1998,10735.0,16
658,Party Game,1999,12290.0,17
659,Party Game,2000,12406.0,19
660,Party Game,2001,9823.0,21
661,Party Game,2002,9751.0,26
662,Party Game,2003,11850.0,27
663,Party Game,2004,9846.0,36
664,Party Game,2005,12435.0,46
665,Party Game,2006,11136.0,29
666,Party Game,2007,11055.0,46
667,Party Game,2008,9865.0,41
668,Party Game,2009,9538.0,49
669,Party Game,2010,9428.0,51
670,Party Game,2011,8907.0,57
671,Party Game,2012,9104.0,59
672,Party Game,2013,9599.0,69
673,Party Game,2014,9618.0,75
674,Party Game,2015,9560.0,83
675,Party Game,2016,8838.0,111
676,Party Game,2017,8109.0,86
677,Party Game,2018,8562.0,65
678,Party Game,2019,9023.0,8
679,Party Game,2020,9023.0,0
680,Science Fiction,1981,10069.0,23
681,Science Fiction,1982,11485.0,16
682,Science Fiction,1983,11618.0,17
683,Science Fiction,1984,11793.0,6
684,Science Fiction,1985,8321.0,4
685,Science Fiction,1986,7750.0,9
686,Science Fiction,1987,7677.0,14
687,Science Fiction,1988,6150.0,10
688,Science Fiction,1989,7219.0,12
689,Science Fiction,1990,6402.0,7
690,Science Fiction,1991,9873.0,10
691,Science Fiction,1992,8572.0,15
692,Science Fiction,1993,9423.0,15
693,Science Fiction,1994,8108.0,8
694,Science Fiction,1995,7588.0,10
695,Science Fiction,1996,7630.0,9
696,Science Fiction,1997,9418.0,15
697,Science Fiction,1998,11952.0,13
698,Science Fiction,1999,10180.0,17
699,Science Fiction,2000,7687.0,14
700,Science Fiction,2001,8899.0,18
701,Science Fiction,2002,7853.0,22
702,Science Fiction,2003,8645.0,20
703,Science Fiction,2004,8470.0,24
704,Science Fiction,2005,7760.0,23
705,Science Fiction,2006,9206.0,23
706,Science Fiction,2007,8197.0,23
707,Science Fiction,2008,6321.0,26
708,Science Fiction,2009,7250.0,38
709,Science Fiction,2010,5861.0,41
710,Science Fiction,2011,5329.0,45
711,Science Fiction,2012,6829.0,67
712,Science Fiction,2013,6816.0,65
713,Science Fiction,2014,6613.0,73
714,Science Fiction,2015,6160.0,104
715,Science Fiction,2016,5845.0,95
716,Science Fiction,2017,5853.0,102
717,Science Fiction,2018,6265.0,99
718,Science Fiction,2019,6617.0,22
719,Science Fiction,2020,11740.0,1
720,Wargame,1981,9300.0,72
721,Wargame,1982,10353.0,44
722,Wargame,1983,8361.0,48
723,Wargame,1984,9427.0,40
724,Wargame,1985,9703.0,49
725,Wargame,1986,8498.0,60
726,Wargame,1987,8105.0,37
727,Wargame,1988,8824.0,34
728,Wargame,1989,8826.0,35
729,Wargame,1990,9514.0,49
730,Wargame,1991,9339.0,60
731,Wargame,1992,9064.0,80
732,Wargame,1993,8748.0,62
733,Wargame,1994,8692.0,57
734,Wargame,1995,8832.0,71
735,Wargame,1996,9118.0,44
736,Wargame,1997,9444.0,59
737,Wargame,1998,7859.0,47
738,Wargame,1999,7390.0,49
739,Wargame,2000,7835.0,42
740,Wargame,2001,8291.0,45
741,Wargame,2002,8168.0,55
742,Wargame,2003,8485.0,62
743,Wargame,2004,6980.0,83
744,Wargame,2005,6605.0,94
745,Wargame,2006,7546.0,81
746,Wargame,2007,7309.0,84
747,Wargame,2008,6878.0,107
748,Wargame,2009,5856.0,100
749,Wargame,2010,6638.0,128
750,Wargame,2011,6656.0,97
751,Wargame,2012,5934.0,110
752,Wargame,2013,6697.0,90
753,Wargame,2014,6238.0,82
754,Wargame,2015,6505.0,97
755,Wargame,2016,6108.0,99
756,Wargame,2017,6099.0,86
757,Wargame,2018,5469.0,70
758,Wargame,2019,6612.0,8
759,Wargame,2020,6612.0,0
760,World War I,1981,7415.0,25
761,World War I,1982,9588.0,15
762,World War I,1983,7749.0,19
763,World War I,1984,10695.0,13
764,World War I,1985,9384.0,27
765,World War I,1986,9218.0,23
766,World War I,1987,7279.0,12
767,World War I,1988,9548.0,7
768,World War I,1989,8227.0,10
769,World War I,1990,9283.0,18
770,World War I,1991,10043.0,18
771,World War I,1992,8985.0,34
772,World War I,1993,9391.0,17
773,World War I,1994,8389.0,25
774,World War I,1995,8687.0,23
775,World War I,1996,9020.0,19
776,World War I,1997,9561.0,22
777,World War I,1998,7845.0,19
778,World War I,1999,7743.0,20
779,World War I,2000,7035.0,16
780,World War I,2001,9028.0,24
781,World War I,2002,6700.0,18
782,World War I,2003,7526.0,28
783,World War I,2004,6201.0,36
784,World War I,2005,7429.0,41
785,World War I,2006,7047.0,31
786,World War I,2007,6535.0,37
787,World War I,2008,6521.0,36
788,World War I,2009,6086.0,49
789,World War I,2010,7474.0,64
790,World War I,2011,6428.0,37
791,World War I,2012,5890.0,37
792,World War I,2013,5912.0,35
793,World War I,2014,6279.0,34
794,World War I,2015,5880.0,45
795,World War I,2016,5702.0,40
796,World War I,2017,6817.0,31
797,World War I,2018,5595.0,23
798,World War I,2019,7143.0,4
799,World War I,2020,7143.0,0
800,World War II,1981,7407.0,21
801,World War II,1982,9399.0,11
802,World War II,1983,8219.0,16
803,World War II,1984,10493.0,12
804,World War II,1985,9306.0,25
805,World War II,1986,9540.0,21
806,World War II,1987,6924.0,11
807,World War II,1988,9548.0,7
808,World War II,1989,8477.0,9
809,World War II,1990,9361.0,16
810,World War II,1991,10041.0,17
